"file","url","bytes","sha256","status","downloaded_at"
"P_DEMO.xpt","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DEMO.xpt",3614720,"2e46c6c26bf77cd8989f64011ace12cbf42c0f3e03414eb59acc5328c8f87913","downloaded","2026-07-24 13:24:02 UTC"
"P_DR1TOT.xpt","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DR1TOT.xpt",19243440,"02cf0fcb15cdef9442594747a6699c43a65fd280f0f807e82ca0b888b0d97b5e","downloaded","2026-07-24 13:24:02 UTC"
"P_DR2TOT.xpt","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DR2TOT.xpt",9736640,"2013d36582131ffc810bb025e11c8a0c6533b5e59197ad2aa76f4d52db81bb5a","downloaded","2026-07-24 13:24:02 UTC"
"P_DR1IFF.xpt","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DR1IFF.xpt",123600000,"264a4dfd66455f106a8ac25a745ebb4e065564b049b45000a5f9c44296d48dec","downloaded","2026-07-24 13:24:02 UTC"
"P_DR2IFF.xpt","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DR2IFF.xpt",100473120,"6f5807d841fb9e183ba5ad6a9e0ebcef534f96c4ffb8e59afd01293dc7cf55e0","downloaded","2026-07-24 13:24:02 UTC"
"P_DSQTOT.xpt","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DSQTOT.xpt",4860960,"777f5f4681c887c6cc0caae9130cda317794050cdd3d11f6545207276ed75138","downloaded","2026-07-24 13:24:02 UTC"
"P_BMX.xpt","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_BMX.xpt",2520640,"7038d0da3169420a4a3cbaec09ac586a701b38e1c7b925431b60e13ac24fed66","downloaded","2026-07-24 13:24:02 UTC"
"P_BPXO.xpt","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_BPXO.xpt",1039840,"5edbcb81e99fe8dad38deb8b642570278b200c525d88ffa29ae3ceb4dd38bde4","downloaded","2026-07-24 13:24:02 UTC"
"P_HDL.xpt","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_HDL.xpt",294000,"04a344f00fe34b3dc4202ee9e47cf61e67d1f985d7c9ece228e25caa85c7fbd7","downloaded","2026-07-24 13:24:02 UTC"
"P_TCHOL.xpt","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_TCHOL.xpt",294000,"759cd9c408b5d1b91f6cfb5d5e67920a301f7478c0e90ce7adf4bbd277a45ac8","downloaded","2026-07-24 13:24:02 UTC"
"P_TRIGLY.xpt","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_TRIGLY.xpt",409360,"d3eb2df386f24a559ae4db992f0ec9aaf3d2c0caec173aa1921e78100ee88b31","downloaded","2026-07-24 13:24:02 UTC"
"P_GLU.xpt","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_GLU.xpt",164160,"91b83c46fb4707c431838159135e93693a0572bce54074f5a890f0ee104732b3","downloaded","2026-07-24 13:24:02 UTC"
"P_INS.xpt","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_INS.xpt",205040,"00b2cebd564df7038451d297df1a1d11e8e69a9443eee16770c24cc2ce3471da","downloaded","2026-07-24 13:24:02 UTC"
"P_GHB.xpt","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_GHB.xpt",167600,"dac9e423f56041c2ec46486cb16be16d3347e0a81a575985882ffad5a60e1195","downloaded","2026-07-24 13:24:02 UTC"
"P_HSCRP.xpt","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_HSCRP.xpt",331760,"e6954d17afa70755c26004bda6d4f0b256a5f30b0620cb70fdd6f520147218e1","downloaded","2026-07-24 13:24:02 UTC"
