"package","version","source"
"DBI","1.3.0","Repository"
"MASS","7.3-65","Repository"
"Matrix","1.7-5","Repository"
"R6","2.6.1","Repository"
"RColorBrewer","1.1-3","Repository"
"Rcpp","1.1.2","Repository"
"RcppArmadillo","15.4.0-1","Repository"
"RcppEigen","0.3.4.0.2","Repository"
"Rdpack","2.6.6","Repository"
"S7","0.2.2","Repository"
"V8","8.2.0","Repository"
"backports","1.5.1","Repository"
"base64enc","0.1-6","Repository"
"bit","4.6.0","Repository"
"bit64","4.8.2","Repository"
"boot","1.3-32","Repository"
"broom","1.0.13","Repository"
"cellranger","1.1.0","Repository"
"cli","3.6.6","Repository"
"clipr","0.8.1","Repository"
"codetools","0.2-20","Repository"
"cpp11","0.5.5","Repository"
"crayon","1.5.3","Repository"
"curl","7.1.0","Repository"
"dagitty","0.3-4","Repository"
"digest","0.6.39","Repository"
"dplyr","1.2.1","Repository"
"farver","2.1.2","Repository"
"forcats","1.0.1","Repository"
"foreach","1.5.2","Repository"
"generics","0.1.4","Repository"
"ggplot2","4.0.3","Repository"
"glmnet","5.0","Repository"
"glue","1.8.1","Repository"
"gtable","0.3.6","Repository"
"haven","2.5.5","Repository"
"here","1.0.2","Repository"
"hms","1.1.4","Repository"
"isoband","0.3.0","Repository"
"iterators","1.0.14","Repository"
"jomo","2.7-6","Repository"
"jsonlite","2.0.0","Repository"
"labeling","0.4.3","Repository"
"lattice","0.22-9","Repository"
"lifecycle","1.0.5","Repository"
"lme4","2.0-6","Repository"
"magrittr","2.0.5","Repository"
"mice","3.19.0","Repository"
"minqa","1.2.8","Repository"
"mitml","0.4-5","Repository"
"mitools","2.4","Repository"
"nlme","3.1-169","Repository"
"nloptr","2.2.1","Repository"
"nnet","7.3-20","Repository"
"numDeriv","2016.8-1.1","Repository"
"ordinal","2025.12-29","Repository"
"pan","2.0","Repository"
"patchwork","1.3.2","Repository"
"pillar","1.11.1","Repository"
"pkgconfig","2.0.3","Repository"
"prettyunits","1.2.0","Repository"
"progress","1.2.3","Repository"
"purrr","1.2.2","Repository"
"ragg","1.5.2","Repository"
"rbibutils","2.4.1","Repository"
"readr","2.2.0","Repository"
"readxl","1.5.0","Repository"
"reformulas","0.4.4","Repository"
"rematch","2.0.0","Repository"
"renv","1.2.3","Repository"
"rlang","1.3.0","Repository"
"rpart","4.1.27","Repository"
"rprojroot","2.1.1","Repository"
"scales","1.4.0","Repository"
"shape","1.4.6.1","Repository"
"stringi","1.8.7","Repository"
"stringr","1.6.0","Repository"
"survey","4.5","Repository"
"survival","3.8-6","Repository"
"svglite","2.2.2","Repository"
"systemfonts","1.3.2","Repository"
"textshaping","1.0.5","Repository"
"tibble","3.3.1","Repository"
"tidyr","1.3.2","Repository"
"tidyselect","1.2.1","Repository"
"tzdb","0.5.0","Repository"
"ucminf","1.2.3","Repository"
"utf8","1.2.6","Repository"
"vctrs","0.7.3","Repository"
"viridisLite","0.4.3","Repository"
"vroom","1.7.1","Repository"
"withr","3.0.3","Repository"
