wweia_category,wweia_description,pdi_group,pdi_class,rationale
7302,Coffee,tea_coffee,healthy_plant,"Satija healthy plant group ""tea and coffee"". Not derivable from FPED, which has no beverage-type component."
7304,Tea,tea_coffee,healthy_plant,"Satija healthy plant group ""tea and coffee""."
7202,Soft drinks,ssb,unhealthy_plant,"Satija less-healthy plant group ""sugar-sweetened beverages"". Sugar-sweetened by definition."
7204,Fruit drinks,ssb,unhealthy_plant,"Sweetened fruit-flavoured drinks; distinct from 100% juice (7002/7004/7006), which is the separate ""fruit juices"" group derived from FPED F_JUICE."
7206,Sport and energy drinks,ssb,unhealthy_plant,"Sugar-sweetened. The diet counterpart (7104) is deliberately excluded."
7220,Smoothies and grain drinks,ssb,unhealthy_plant,"JUDGMENT CALL: predominantly sweetened. Flagged for sensitivity analysis; see docs/protocol_amendments.md."
5402,Cereal bars,sweets_desserts,unhealthy_plant,"Satija less-healthy plant group ""sweets and desserts""."
5404,Nutrition bars,sweets_desserts,unhealthy_plant,"JUDGMENT CALL: nutritionally heterogeneous but sugar-dense; grouped with sweets. Flagged for sensitivity analysis."
5502,Cakes and pies,sweets_desserts,unhealthy_plant,"Core sweets/desserts category."
5504,Cookies and brownies,sweets_desserts,unhealthy_plant,"Core sweets/desserts category."
5506,"Doughnuts, sweet rolls, pastries",sweets_desserts,unhealthy_plant,"Core sweets/desserts category."
5702,Candy containing chocolate,sweets_desserts,unhealthy_plant,"Core sweets/desserts category."
5704,Candy not containing chocolate,sweets_desserts,unhealthy_plant,"Core sweets/desserts category."
5804,Pudding,sweets_desserts,unhealthy_plant,"Core sweets/desserts category."
5806,"Gelatins, ices, sorbets",sweets_desserts,unhealthy_plant,"Non-dairy frozen/gelled desserts."
5802,Ice cream and frozen dairy desserts,EXCLUDED_DAIRY_OVERLAP,none,"DELIBERATELY NOT mapped to sweets_desserts. Dairy-based; FPED assigns its dairy content to D_TOTAL, which is the separate animal ""dairy"" group. Mapping it here would double-count the same food in two PDI groups."
7102,Diet soft drinks,EXCLUDED_NOT_SWEETENED,none,"Not sugar-sweetened; outside the SSB construct."
7104,Diet sport and energy drinks,EXCLUDED_NOT_SWEETENED,none,"Not sugar-sweetened."
7106,Other diet drinks,EXCLUDED_NOT_SWEETENED,none,"Not sugar-sweetened."
7208,Nutritional beverages,EXCLUDED_AMBIGUOUS,none,"Meal-replacement and medical nutrition beverages. Not conventionally treated as SSB in the PDI literature; excluded and documented rather than silently assigned."
7802,Flavored or carbonated water,EXCLUDED_AMBIGUOUS,none,"Sweetened status varies within the category and cannot be resolved at category level. Excluded and documented."
7804,Enhanced or fortified water,EXCLUDED_AMBIGUOUS,none,"As 7802."
