"pdi_group","pdi_class","unit","source"
"whole_grains","healthy_plant","oz eq","fped"
"fruits","healthy_plant","cup eq","fped"
"vegetables","healthy_plant","cup eq","fped"
"nuts","healthy_plant","oz eq","fped"
"legumes","healthy_plant","cup eq","fped"
"vegetable_oils","healthy_plant","grams","fped"
"tea_coffee","healthy_plant","grams","wweia"
"fruit_juices","unhealthy_plant","cup eq","fped"
"refined_grains","unhealthy_plant","oz eq","fped"
"potatoes","unhealthy_plant","cup eq","fped"
"ssb","unhealthy_plant","grams","wweia"
"sweets_desserts","unhealthy_plant","grams","wweia"
"animal_fat","animal","grams","fped"
"dairy","animal","cup eq","fped"
"eggs","animal","oz eq","fped"
"fish_seafood","animal","oz eq","fped"
"meat","animal","oz eq","fped"
