"pdi_group","class","unit","pct_zero","levels_primary","levels_sensitivity","score_of_nonconsumers_primary","score_of_nonconsumers_sens","mean_intake"
"whole_grains","healthy_plant","oz eq",56.9,5,4,1,2,0.742
"fruits","healthy_plant","cup eq",51.5,5,4,1,2,0.612
"vegetables","healthy_plant","cup eq",9.8,5,5,1,1,1.05
"nuts","healthy_plant","oz eq",72.1,5,3,1,2,0.646
"legumes","healthy_plant","cup eq",75.7,5,3,1,2,0.141
"vegetable_oils","healthy_plant","grams",1.6,5,5,1,1,28.773
"tea_coffee","healthy_plant","grams",33,5,5,1,1,441.492
"fruit_juices","unhealthy_plant","cup eq",75.4,5,3,1,2,0.196
"refined_grains","unhealthy_plant","oz eq",4.2,5,5,1,1,5.08
"potatoes","unhealthy_plant","cup eq",55.2,5,4,1,2,0.377
"ssb","unhealthy_plant","grams",55.4,5,3,1,2,286.302
"sweets_desserts","unhealthy_plant","grams",45.6,5,4,1,2,50.332
"animal_fat","animal","grams",1.3,5,5,1,1,29.616
"dairy","animal","cup eq",13.2,5,5,1,1,1.213
"eggs","animal","oz eq",35.1,5,5,1,1,0.625
"fish_seafood","animal","oz eq",81.5,5,2,1,3,0.709
"meat","animal","oz eq",12.5,5,5,1,1,4.112
