"pdi_group","unit","class"
"whole_grains","oz eq","healthy_plant"
"fruits","cup eq","healthy_plant"
"vegetables","cup eq","healthy_plant"
"nuts","oz eq","healthy_plant"
"legumes","cup eq","healthy_plant"
"vegetable_oils","grams","healthy_plant"
"tea_coffee","grams","healthy_plant"
"fruit_juices","cup eq","unhealthy_plant"
"refined_grains","oz eq","unhealthy_plant"
"potatoes","cup eq","unhealthy_plant"
"ssb","grams","unhealthy_plant"
"sweets_desserts","grams","unhealthy_plant"
"animal_fat","grams","animal"
"dairy","cup eq","animal"
"eggs","oz eq","animal"
"fish_seafood","oz eq","animal"
"meat","oz eq","animal"
