"term","VIF"
"energy_kcal",7.79
"animal_fat",2.56
"education3>HS",2.45
"refined_grains",2.19
"vegetable_oils",2.12
"education3HS/GED",2.01
"dairy",1.72
"sweets_desserts",1.67
"meat",1.64
"ssb",1.48
"race_ethNH Black",1.47
"race_ethMexican American",1.46
"age_years",1.4
"pir",1.4
"nuts",1.37
"race_ethNH Asian",1.36
"smoking3Current",1.3
"race_ethOther Hispanic",1.29
"potatoes",1.27
"sexFemale",1.26
"whole_grains",1.21
"smoking3Former",1.21
"vegetables",1.2
"supplement_anyYes",1.2
"tea_coffee",1.15
"alcohol_dpd",1.15
"met_min_wk",1.15
"legumes",1.14
"fish_seafood",1.13
"race_ethOther/Multiracial",1.13
"fruits",1.12
"fruit_juices",1.11
"eggs",1.11
