"pdi_group","unit","class","beta","se","ci_low","ci_high"
"whole_grains","per oz eq","healthy_plant",-0.01368,0.00965,-0.03259,0.00523
"fruits","per cup eq","healthy_plant",-0.00791,0.01407,-0.03549,0.01967
"vegetables","per cup eq","healthy_plant",-0.03954,0.01523,-0.06939,-0.00969
"nuts","per oz eq","healthy_plant",-0.00984,0.00796,-0.02544,0.00576
"legumes","per cup eq","healthy_plant",0.01986,0.03669,-0.05205,0.09177
"vegetable_oils","per 100 g","healthy_plant",0.09181,0.08064,-0.06624,0.24986
"tea_coffee","per 100 g","healthy_plant",-0.00106,0.00231,-0.00559,0.00347
"fruit_juices","per cup eq","unhealthy_plant",-0.00187,0.02108,-0.04319,0.03945
"refined_grains","per oz eq","unhealthy_plant",0.01629,0.00569,0.00514,0.02744
"potatoes","per cup eq","unhealthy_plant",0.02254,0.02253,-0.02162,0.0667
"ssb","per 100 g","unhealthy_plant",0.00659,0.00343,-0.00013,0.01331
"sweets_desserts","per 100 g","unhealthy_plant",-0.01586,0.02006,-0.05518,0.02346
"animal_fat","per 100 g","animal",0.0716,0.09085,-0.10647,0.24967
"dairy","per cup eq","animal",-0.0101,0.01085,-0.03137,0.01117
"eggs","per oz eq","animal",-0.02428,0.02006,-0.0636,0.01504
"fish_seafood","per oz eq","animal",0.00581,0.00556,-0.00509,0.01671
"meat","per oz eq","animal",0.0136,0.0054,0.00302,0.02418
