"from","to","unit","estimate","se","ci_low","ci_high","p_raw","p_fdr"
"nuts","refined_grains","per oz eq",0.0261,0.00796,0.0105,0.0417,0.00102,0.0358
"whole_grains","meat","per oz eq",0.0273,0.0106,0.00652,0.0481,0.01,0.175
"vegetables","potatoes","per cup eq",0.0621,0.0259,0.0113,0.113,0.0165,0.193
"refined_grains","eggs","per oz eq",-0.0406,0.0193,-0.0785,-0.00267,0.0359,0.314
"whole_grains","fish_seafood","per oz eq",0.0195,0.0112,-0.00244,0.0414,0.0814,0.392
"nuts","fish_seafood","per oz eq",0.0157,0.00924,-0.00246,0.0338,0.0904,0.392
"refined_grains","fish_seafood","per oz eq",-0.0105,0.00712,-0.0244,0.00347,0.141,0.392
"eggs","fish_seafood","per oz eq",0.0301,0.0207,-0.0104,0.0706,0.145,0.392
"eggs","meat","per oz eq",0.0379,0.0201,-0.00147,0.0772,0.0592,0.392
"fruits","vegetables","per cup eq",-0.0316,0.0223,-0.0754,0.0122,0.157,0.392
"vegetables","legumes","per cup eq",0.0594,0.042,-0.0228,0.142,0.157,0.392
"vegetables","dairy","per cup eq",0.0294,0.0165,-0.00284,0.0617,0.0739,0.392
"potatoes","dairy","per cup eq",-0.0326,0.0219,-0.0755,0.0102,0.135,0.392
"vegetable_oils","sweets_desserts","per 100 g",-0.108,0.0732,-0.251,0.0358,0.141,0.392
"fish_seafood","meat","per oz eq",0.00779,0.00598,-0.00392,0.0195,0.192,0.449
"vegetables","fruit_juices","per cup eq",0.0377,0.0307,-0.0225,0.0978,0.22,0.477
"vegetable_oils","tea_coffee","per 100 g",-0.0929,0.0799,-0.25,0.0638,0.245,0.477
"ssb","sweets_desserts","per 100 g",-0.0225,0.0191,-0.06,0.015,0.241,0.477
"fruits","potatoes","per cup eq",0.0305,0.0276,-0.0236,0.0845,0.269,0.496
"vegetable_oils","ssb","per 100 g",-0.0852,0.0801,-0.242,0.0717,0.287,0.502
"sweets_desserts","animal_fat","per 100 g",0.0875,0.0905,-0.09,0.265,0.334,0.557
"nuts","eggs","per oz eq",-0.0144,0.0207,-0.0549,0.0261,0.485,0.607
"fruits","legumes","per cup eq",0.0278,0.0398,-0.0503,0.106,0.485,0.607
"legumes","dairy","per cup eq",-0.03,0.0384,-0.105,0.0453,0.435,0.607
"fruit_juices","potatoes","per cup eq",0.0244,0.0313,-0.037,0.0858,0.436,0.607
"tea_coffee","sweets_desserts","per 100 g",-0.0148,0.02,-0.054,0.0244,0.459,0.607
"tea_coffee","animal_fat","per 100 g",0.0727,0.0908,-0.105,0.251,0.423,0.607
"ssb","animal_fat","per 100 g",0.065,0.0902,-0.112,0.242,0.471,0.607
"legumes","fruit_juices","per cup eq",-0.0217,0.0429,-0.106,0.0623,0.612,0.739
"whole_grains","eggs","per oz eq",-0.0106,0.0225,-0.0547,0.0335,0.638,0.744
"refined_grains","meat","per oz eq",-0.00269,0.00623,-0.0149,0.00951,0.666,0.752
"fruit_juices","dairy","per cup eq",-0.00823,0.0229,-0.0532,0.0367,0.72,0.787
"whole_grains","nuts","per oz eq",0.00384,0.0138,-0.0232,0.0309,0.781,0.828
"vegetable_oils","animal_fat","per 100 g",-0.0202,0.106,-0.228,0.187,0.849,0.874
"fruits","dairy","per cup eq",-0.00219,0.0175,-0.0366,0.0322,0.901,0.901
