"analysis","n","exposure","weight","beta","ci","pct_change_vs_primary","ci_overlaps_primary","inference_unchanged","interpretation"
"PRIMARY (reference)",3131,"hPDI per SD (non-consumer rule)","WTSAFPRP",-0.0646,"-0.1062 to -0.0231",0,TRUE,TRUE,"pre-specified primary specification"
"1. Weight: day-1 dietary weight",3131,"hPDI per SD (non-consumer rule)","WTDRD1PP",-0.0707,"-0.1130 to -0.0284",-9.4,TRUE,TRUE,"WTDRD1PP does not adjust for fasting-subsample selection"
"2a. Exclude prevalent CVD",2748,"hPDI per SD (non-consumer rule)","WTSAFPRP",-0.0587,"-0.1043 to -0.0130",9.1,TRUE,TRUE,"attenuation would suggest reverse causation"
"2b. Exclude prevalent diabetes",2633,"hPDI per SD (non-consumer rule)","WTSAFPRP",-0.0711,"-0.1070 to -0.0351",-10.1,TRUE,TRUE,"attenuation would suggest reverse causation"
"2c. Exclude CVD and diabetes",2384,"hPDI per SD (non-consumer rule)","WTSAFPRP",-0.0693,"-0.1101 to -0.0285",-7.3,TRUE,TRUE,"attenuation would suggest reverse causation"
"3a. Medication as covariates",3131,"hPDI per SD (non-consumer rule)","WTSAFPRP",-0.0576,"-0.0970 to -0.0181",10.8,TRUE,TRUE,"conditions on a descendant of the outcome"
"3b. Additive BP constants (+15/+10)",3131,"hPDI per SD (non-consumer rule)","WTSAFPRP",-0.0666,"-0.1089 to -0.0243",-3.1,TRUE,TRUE,"corrects the measured biomarker instead of adjusting"
"3c. Exclude treated participants",1956,"hPDI per SD (non-consumer rule)","WTSAFPRP",-0.0614,"-0.1076 to -0.0152",5,TRUE,TRUE,"removes treatment effects on biomarkers, at a cost in n"
"4. Plain weighted-quintile scoring",3131,"hPDI per SD (plain quintile rule)","WTSAFPRP",-0.0672,"-0.1083 to -0.0260",-4,TRUE,TRUE,"pre-specified alternative scoring rule"
"5. Exclude implausible energy reporters",2413,"hPDI per SD (non-consumer rule)","WTSAFPRP",-0.0555,"-0.0904 to -0.0206",14.1,TRUE,TRUE,"EI:BMR outside [0.87, 2.75] excluded"
