"characteristic","overall","Q1","Q2","Q3","Q4","Q5","pct_missing"
"n (unweighted)","3131","741","702","559","593","536",0
"age_years, mean (SE)","48.09 (0.74)","43.86 (1.36)","46.58 (1.24)","47.73 (1.20)","51.16 (0.73)","52.43 (0.78)",0
"pir, mean (SE)","3.16 (0.07)","2.91 (0.13)","3.12 (0.08)","3.10 (0.16)","3.14 (0.11)","3.61 (0.10)",11.8
"energy_kcal, mean (SE)","2184.49 (24.31)","2766.28 (47.93)","2169.52 (53.75)","2103.29 (50.43)","1874.60 (36.07)","1864.98 (60.72)",0
"met_min_wk, mean (SE)","4663.51 (250.46)","5384.39 (453.48)","5352.97 (435.10)","4614.40 (518.76)","4436.24 (364.11)","3231.10 (373.97)",0.5
"alcohol_dpd, mean (SE)","0.53 (0.03)","0.56 (0.06)","0.46 (0.05)","0.54 (0.04)","0.53 (0.06)","0.56 (0.08)",9.6
"BMXBMI, mean (SE)","29.64 (0.20)","30.48 (0.51)","30.03 (0.44)","29.59 (0.34)","29.61 (0.24)","28.20 (0.45)",0.3
"waist_cm, mean (SE)","100.51 (0.51)","102.76 (1.32)","101.10 (1.01)","100.09 (0.68)","100.71 (0.70)","97.23 (1.02)",0
"map_mmhg, mean (SE)","89.50 (0.27)","89.85 (0.59)","89.65 (0.63)","90.04 (0.81)","89.94 (0.62)","87.91 (0.81)",0
"cmd_score, mean (SE)","0.00 (0.02)","0.04 (0.04)","0.04 (0.04)","-0.02 (0.04)","0.03 (0.04)","-0.09 (0.05)",0
"hPDI, mean (SE)","51.61 (0.17)","43.12 (0.13)","48.62 (0.06)","52.03 (0.06)","55.43 (0.07)","61.49 (0.25)",0
"sex = Male, %","50.0","59.5","52.7","48.8","46.4","39.7",0
"sex = Female, %","50.0","40.5","47.3","51.2","53.6","60.3",0
"race_eth = NH White, %","64.0","62.7","61.2","60.9","66.3","69.8",0
"race_eth = Mexican American, %","8.7","8.8","10.2","11.7","7.5","5.4",0
"race_eth = Other Hispanic, %","6.6","7.0","6.8","7.5","6.2","5.6",0
"race_eth = NH Black, %","11.0","15.9","12.9","10.4","8.2","6.3",0
"race_eth = NH Asian, %","4.9","0.9","3.4","4.1","7.5","9.7",0
"race_eth = Other/Multiracial, %","4.7","4.6","5.6","5.4","4.4","3.2",0
"education3 = <HS, %","10.1","10.5","12.0","9.3","10.0","8.2",0
"education3 = HS/GED, %","27.0","32.3","29.1","23.8","29.0","18.8",0
"education3 = >HS, %","62.9","57.2","58.9","66.8","61.0","73.0",0
"smoking3 = Never, %","56.1","56.1","53.2","54.7","59.2","57.5",0.1
"smoking3 = Former, %","27.5","24.0","28.6","27.5","25.2","32.9",0.1
"smoking3 = Current, %","16.5","19.9","18.2","17.8","15.6","9.7",0.1
"supplement_any = No, %","40.9","52.1","43.4","39.8","34.9","31.2",0.1
"supplement_any = Yes, %","59.1","47.9","56.6","60.2","65.1","68.8",0.1
